City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
508,High Rock,BS,62.62,overcast clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
512,Cerritos,US,62.08,clear sky,33.8583,-118.0648,Sheraton Cerritos Hotel
515,Paso De Los Toros,UY,64.35,clear sky,-32.8167,-56.5167,Complejo Isabelino
516,Half Moon Bay,US,54.79,overcast clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
517,Mpanda,TZ,69.78,overcast clouds,-6.3655,31.0409,CH Hotel - Mpanda
519,Sakakah,SA,54.97,broken clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
520,Puerto Baquerizo Moreno,EC,68.47,scattered clouds,-0.9,-89.6,Hotel los Algarrobos
522,Padang,ID,78.85,overcast clouds,-0.9492,100.3543,Mercure Padang
523,San Juan,AR,67.1,overcast clouds,-31.5375,-68.5364,Hotel Provincial
524,Pedasi,PA,77.07,broken clouds,7.5333,-80.0333,Selina Pedasi
534,Shangrao,CN,58.03,clear sky,28.4532,117.9686,Boyue boutique Hotel
537,Moron,AR,69.98,overcast clouds,-34.6534,-58.6198,Hotel Morón
538,Dabakala,CI,76.08,broken clouds,8.3667,-4.4333,Hôtel Campement
539,Waipawa,NZ,68.63,moderate rain,-41.4122,175.5153,Tora Coastal Walk
540,Houston,US,72.25,broken clouds,29.7633,-95.3633,"Hotel ICON, Autograph Collection"
541,Guilin,CN,60.91,clear sky,25.2819,110.2864,Grand 0773 Hotel
542,Swan Hill,AU,77.34,clear sky,-35.3378,143.5544,Lazy River Motor Inn
543,Guaruja,BR,78.91,few clouds,-23.9931,-46.2564,Charme Hotel Guarujá
544,San Quintin,MX,58.5,broken clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
545,Yazoo City,US,62.76,scattered clouds,32.8551,-90.4056,Hampton Inn Yazoo City
546,Porto Novo,BJ,78.84,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
550,Jardim,BR,77.76,overcast clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
551,Greenville,US,56.28,clear sky,35.6127,-77.3663,the 5th Street Inn
555,Santa Maria Del Oro,MX,60.44,overcast clouds,25.9333,-105.3667,Hotel Palacio Del Sol
556,Iacu,BR,70.14,clear sky,-12.7672,-40.2117,Pousada e Restaurante Portal da Chapada
561,Portoferraio,IT,59.97,clear sky,42.8115,10.3146,Hotel Villa Ombrosa
563,Chuy,UY,63.57,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
565,General Roca,AR,66.6,clear sky,-39.0333,-67.5833,Hotel y Casino del Río General Roca
566,Moerai,PF,78.19,overcast clouds,-22.4333,-151.3333,Le Manotel
567,Kiama,AU,67.37,overcast clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
569,Canon City,US,54.0,clear sky,38.441,-105.2424,Travel Inn Motel
571,Tahoua,NE,69.84,clear sky,14.8888,5.2692,Bungalows Guesthouse
573,Hokitika,NZ,62.29,overcast clouds,-42.7167,170.9667,Beachfront Hotel Hokitika
574,Araguacu,BR,73.04,broken clouds,-12.9306,-49.8264,Hotel Tocantins
578,Sao Gabriel Da Cachoeira,BR,72.36,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
579,Pitimbu,BR,79.39,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
581,Parsons,US,57.81,broken clouds,37.3403,-95.2611,Parsons Inn
582,Sao Filipe,CV,75.27,overcast clouds,14.8961,-24.4956,Hotel Xaguate
585,Matay,EG,59.02,overcast clouds,28.419,30.7792,Nag Aespen
588,Wajid,SO,72.03,overcast clouds,3.8093,43.2471,xamdihotelresturant114
594,Mount Pleasant,US,60.78,clear sky,32.7941,-79.8626,Best Western Patriots Point
595,Linhares,BR,68.77,few clouds,-19.3911,-40.0722,Hotel Conceição
597,Valparaiso,CL,60.44,clear sky,-33.0393,-71.6273,Hotel Ultramar
600,Santa Isabel,BR,71.4,broken clouds,-23.3156,-46.2214,Chácara Sombra do Altíssimo
603,Kathmandu,NP,57.42,mist,27.7167,85.3167,Hotel Shanker Kathmandu
606,Touros,BR,79.7,few clouds,-5.1989,-35.4608,INN NEW HORIZON
607,Kirando,TZ,74.41,scattered clouds,-7.4167,30.6,Lakeshore Lodge
608,Sailana,IN,66.11,clear sky,23.4667,74.9167,Krishna Marriage Garden Sailana
610,Hobyo,SO,77.74,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
612,Cerignola,IT,58.03,broken clouds,41.264,15.9005,Hotel Veronese
614,Bima,ID,77.97,overcast clouds,-8.4667,118.7167,Lambitu Hotel
615,Broken Hill,AU,76.42,overcast clouds,-31.95,141.4333,Royal Exchange Hotel
617,Capinzal,BR,68.09,broken clouds,-27.3436,-51.6119,Hotel Baiolim
618,Kuchinarai,TH,76.71,few clouds,16.541,104.05,โรงแรมแสงชัย
619,Ukiah,US,53.44,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
621,Tambura,SS,73.22,broken clouds,5.6,27.4667,Rikito Lodge
623,Mandera,KE,76.78,few clouds,3.9366,41.867,Mwalimu Guest mandera
625,Tocopilla,CL,66.63,few clouds,-22.092,-70.1979,Hotel Galvarino
626,Ginda,IN,53.4,broken clouds,30.6945,78.4932,Bal uma sankar hotel and restaurant
630,San Ramon De La Nueva Oran,AR,76.37,overcast clouds,-23.1322,-64.326,Hotel Residencial Centro
631,Kailua,US,73.38,light rain,21.4022,-157.7394,Sheffield House Bed & Breakfast
633,Espanola,US,53.58,clear sky,35.9911,-106.0806,Santa Claran Hotel Casino
637,Rio Grande,BR,67.95,scattered clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
639,Celestun,MX,74.34,clear sky,20.8667,-90.4,Posada Lilia
645,Abu Dhabi,AE,72.97,few clouds,24.4667,54.3667,Ramee Garden Hotel Apartments
649,Taltal,CL,63.37,scattered clouds,-25.4,-70.4833,Residencial Karime
650,Tura,IN,72.73,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
