City_ID,City,Lat,Lng,Description,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
233,Coria,39.9879,-6.5377,clear sky,41.45,88,3,5.57,ES,2021-12-05 03:12:28
234,Flinders,-34.5833,150.8552,overcast clouds,67.17,64,93,12.21,AU,2021-12-05 03:12:28
235,Kalmar,56.6616,16.3616,broken clouds,34.97,82,75,11.5,SE,2021-12-05 03:12:28
236,Le Port,-20.9373,55.2919,clear sky,79.61,72,2,8.08,RE,2021-12-05 03:12:29
237,Iranshahr,27.2025,60.6848,clear sky,56.89,45,0,1.88,IR,2021-12-05 03:12:29
238,Malanje,-9.5402,16.341,overcast clouds,64.47,98,99,1.59,AO,2021-12-05 03:12:30
239,Nicolas Bravo,18.45,-88.9167,scattered clouds,68.74,90,39,2.04,MX,2021-12-05 03:12:30
240,Burnie,-41.0667,145.9167,overcast clouds,57.38,66,99,8.48,AU,2021-12-05 03:12:30
241,Batamshinskiy,50.5594,58.2747,scattered clouds,22.14,83,43,11.48,KZ,2021-12-05 03:12:31
242,Yuza,39.0,139.9167,overcast clouds,42.04,67,100,10.76,JP,2021-12-05 03:12:31
243,Wakkanai,45.4094,141.6739,overcast clouds,33.73,65,91,27.87,JP,2021-12-05 03:12:31
244,Palmer,42.1584,-72.3287,scattered clouds,38.86,71,40,0.0,US,2021-12-05 03:12:32
245,Tenenkou,14.4572,-4.9169,overcast clouds,72.48,17,96,10.16,ML,2021-12-05 03:12:32
246,Olga,43.7444,135.2892,clear sky,27.64,28,0,3.76,RU,2021-12-05 03:12:32
247,Fare,-16.7,-151.0167,broken clouds,81.32,66,63,12.35,PF,2021-12-05 03:12:33
248,Dezful,32.3811,48.4058,broken clouds,56.91,37,67,0.89,IR,2021-12-05 03:12:33
249,Tinskoy,56.1525,96.9161,overcast clouds,20.95,82,100,13.96,RU,2021-12-05 03:12:33
250,Kodiak,57.79,-152.4072,clear sky,20.71,79,1,3.44,US,2021-12-05 03:12:34
251,La Ronge,55.1001,-105.2842,overcast clouds,-0.15,92,100,5.37,CA,2021-12-05 03:12:34
252,Ust-Tsilma,65.441,52.1498,light snow,1.4,96,100,2.33,RU,2021-12-05 03:12:35
253,San Cristobal,7.7669,-72.225,overcast clouds,69.98,82,94,1.99,VE,2021-12-05 03:12:36
254,Saint-Philippe,-21.3585,55.7679,scattered clouds,79.21,80,39,12.73,RE,2021-12-05 03:12:36
255,Tiksi,71.6872,128.8694,overcast clouds,-18.87,92,100,0.38,RU,2021-12-05 03:12:36
256,Muroto,33.2833,134.15,broken clouds,52.57,60,70,6.64,JP,2021-12-05 03:12:37
257,Concordia,-31.393,-58.0209,scattered clouds,70.79,71,46,3.0,AR,2021-12-05 03:12:37
258,Hadsund,56.7148,10.1168,overcast clouds,35.91,76,100,23.69,DK,2021-12-05 03:12:38
